Year,Birth,Death
1990,103349,28734
1991,105725,31266
1992,110062,33327
1993,112330,33000
1994,114543,33535
1995,116886,35348
1996,121333,34664
1997,124478,36124
1998,130080,36955
1999,131936,37291
2000,136390,37688
2001,136636,37186
2002,139535,38415
2003,144936,38499
2004,145207,37938
2005,143913,39038
2006,148170,38765
2007,151679,39813
2008,156923,39484
2009,161042,38812
2010,166255,39613
2011,166296,40889
2012,170940,42100
2013,171444,41683
2014,176427,42457
2015,178723,44507
2016,181405,44244
2017,183648,44923
2018,184370,44850
2019,182016,45980
